Ready?,name,Train Type,track-types,desc,maxSpeed (m/s),maxAcceleration,maxDeceleration,capacityPerCar,minCars,maxCars,carsPerCarSet,carLength,trainWidth,maxStationLength,carCost,baseTrackCost,baseStationCost,scissorsCrossoverCost,canCrossRoads,maxSpeedLocalStation,Old?,trainOperationalCostPerHour,carOperationalCostPerHour,color,Multipliers,Min Capacity,Max Capacity,Manufacturer,Train Category,Cities,Nation,Cont,Generic?,Cities2,Nation2
TRUE,R211 (NYC),Standard Metro,600V Metro (TRA|AAR),The R211 is a subway EMU built by Kawasaki for the NYC Subway's B Division that entered service in 2023.,24.7,1.10,1.30,230,5,10,5,18.35,3.05,227,2780000,62500,93750000,18750000,FALSE,13,FALSE,500,50,#007EC6,5.63|2.50|1.25|0.30|0.90,1150,2300,Kawasaki,Metro,NYC,US,North America,FALSE,New York City,United States of America
TRUE,R188 (NYC),Standard Metro,600V Metro (TRA|IRT),The R188 is a subway EMU built by Kawasaki for the NYC Subway's A Division that entered service in 2013.,24.7,1.10,1.30,188,5,10,5,15.65,2.62,227,2270000,62500,93750000,18750000,FALSE,13,FALSE,500,50,#AF378B,4.50|2.00|1.00|0.30|0.80,940,1880,Kawasaki,Metro,NYC,US,North America,FALSE,New York City,United States of America
TRUE,M9 (LIRR),Standard Commuter,NYC LIRR Electric,The M9 is a commuter rail EMU built by Kawasaki for the Long Island Railroad that entered service in 2009.,40.0,0.90,1.33,120,4,14,2,25.91,3.25,370,3500000,62500,93750000,18750000,TRUE,15,FALSE,600,60,#0039A6,5.63|2.50|1.25|0.30|0.90,480,1680,Kawasaki,Commuter,NYC,US,North America,FALSE,New York City,United States of America
TRUE,DM30-C3 (LIRR),Diesel Commuter,"MTA Commuter Diesel, NYC LIRR Electric","The DM30AC-C3 is a commuter rail Diesel train that entered service in 1993, with coach cars manufacured by Kawasaki powered by an EMD manufactured Diesel locomotive. Cost is an estimate.",42.0,0.82,1.30,150,4,12,2,25.91,3.25,370,2000000,37500,56250000,11250000,TRUE,15,TRUE,1120,112,#03B8A9,8.44|3.75|1.88|0.30|0.90,600,1800,"EMD,Kawasaki",Commuter,NYC,US,North America,FALSE,New York City,United States of America
TRUE,R179 (NYC),Standard Metro,600V Metro (TRA|AAR),The R179 is a subway EMU built by Bombardier (now Alstom) for the NYC Subway's B Division that entered service in 2019.,24.7,1.10,1.30,240,4,8,4,18.40,3.02,227,2323899,62500,93750000,18750000,FALSE,13,FALSE,500,50,#A7752A,5.63|2.50|1.25|0.30|0.90,960,1920,Bombardier,Metro,NYC,US,North America,FALSE,New York City,United States of America
TRUE,NJT LRV-3,Standard LRT,750V LRT (CAT|MS),"This is an unnamed articulated low-floor light-rail vehicle built by Kinki-Sharyo for New Jersey Transit, specifically Hudson-Bergen Light Rail and Newark Light Rail. It has been in service since 2000. This is the original, 3 section version.",24.4,1.34,1.34,67,3,6,3,9.14,2.68,60,1166667,50000,75000000,15000000,TRUE,6.7,FALSE,200,20,#E06C9E,6.75|3.00|1.50|0.30|0.80,201,402,Kinki Sharyo,LRT,NYC,US,North America,FALSE,New York City,United States of America
TRUE,NJT LRV-5,Standard LRT,750V LRT (CAT|MS),"This is an unnamed articulated low-floor light-rail vehicle built by Kinki-Sharyo for New Jersey Transit, specifically Hudson-Bergen Light Rail and Newark Light Rail. It has been in service since 2000. This is the 5 section version.",24.4,1.34,1.34,60,5,5,5,7.74,2.68,60,920000,50000,75000000,15000000,TRUE,6.7,FALSE,200,20,#FF7CB5,6.75|3.00|1.50|0.30|0.80,300,300,Kinki Sharyo,LRT,NYC,US,North America,FALSE,New York City,United States of America
TRUE,R142A/PA5,Standard Metro,"600V Metro (TRA|MW), 600V Metro (TRA|IRT)",The R142A is a subway EMU built by Bombardier (now Alstom) for the NYC Subway's A Division that entered service in 2000. The PA5 is a variant built for the PATH Rapid Transit system. ,24.6,1.12,1.34,180,5,10,5,15.56,2.62,227,1340000,62500,93750000,18750000,FALSE,13,FALSE,500,50,#0095D3,4.50|2.00|1.00|0.30|0.80,900,1800,Bombardier,Metro,NYC,US,North America,FALSE,New York City,United States of America
TRUE,ADtranz M4,Standard Metro,SEPTA: L,The AdTranz M4 is an EMU used on the L line of the Philadelphia Subway. Many of these stats are estimates due to lack of data.,24.6,1.21,1.34,110,2,12,2,16.81,1.588,220,1290000,68200,102300000,20625000,FALSE,13,TRUE,700,70,#1C9AD6,4.50|2.00|1.00|0.30|0.80,220,1320,ADtranz,Metro,PHI,US,North America,FALSE,Philadelphia,United States of America
TRUE,S70 Streetcar,Standard LRT,"600V LRT (CAT|MS), 750V LRT (CAT|MS), 1.5kV LRT (CAT|MS)",The S700 Streetcar is an articulated low-floor streetcar built by Siemens that have been in service across North America since 2004. This specific model is based on the streetcar model ordered by OC Streetcar. Capacity is artificially higher due to game processing requirements.,20.0,1.34,1.34,67,3,3,3,9.17,2.65,32,2145833,50000,75000000,15000000,TRUE,6.7,FALSE,200,20,#01235E,6.75|3.00|1.50|0.30|0.80,201,201,Siemens,LRT,"Generic, ATL, LA, SLC, CLT","Generic, US, US, US, US","Generic, North America, North America, North America, North America",TRUE,"Generic, Atlanta, Los Angeles, Salt Lake City, Charlotte","Generic, United States of America, United States of America, United States of America, United States of America"
