1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
typeName,id,GoA,baseTrackCost,baseStationCost,scissorsCrossoverCost,DEEP,STD,CUT,AG,EL,Electrification,Voltage,Track Gauge,Loading Gauge,parallelTrackSpacing,trackClearance,Check,Usage
DC 600V (GoA1 | TRA | MS),std_cdc-1_tra_ms,GoA1,50000,63750000,15000000,4.11,1.83,0.91,0.30,0.77,tr-above,Classical DC,Standard,Metro Standard,2.12,1.01,FALSE,
DC 600V (GoA2 | TRA | MS),std_cdc-2_tra_ms,GoA2,50000,75000000,15000000,4.11,1.83,0.91,0.30,0.77,tr-above,Classical DC,Standard,Metro Standard,2.12,1.01,FALSE,
DC 600V (GoA1 | TRA | AAR),std_cdc-1_tra_aar,GoA1,50000,63750000,15000000,4.73,2.10,1.05,0.30,0.82,tr-above,Classical DC,Standard,U.S. Passenger Standard,2.52,1.21,FALSE,
DC 600V (GoA2 | TRA | AAR),std_cdc-2_tra_aar,GoA2,50000,75000000,15000000,4.73,2.10,1.05,0.30,0.82,tr-above,Classical DC,Standard,U.S. Passenger Standard,2.52,1.21,FALSE,
DC 750V (GoA1 | TRA | LIRR),std_mdc-1_tra_lirr,GoA1,50000,63750000,15000000,5.04,2.24,1.12,0.30,0.85,tr-above,Modern DC,Standard,LIRR / Metro North,2.72,1.31,FALSE,
Diesel (GoA1 | NON | LIRR),std_non-1_non_lirr,GoA1,37500,63750000,7500000,3.78,1.68,0.84,0.30,0.85,none,None,Standard,LIRR / Metro North,2.72,1.31,FALSE,
DC 750V (GoA1 | CAT | BM),std_mdc-1_cat_bm,GoA1,42500,63750000,12750000,3.63,1.61,0.81,0.30,0.78,catenary,Modern DC,Standard,Barcelona Metro,2.22,1.06,FALSE,
DC 750V (GoA0 | CAT | BM),std_mdc-0_cat_bm,GoA0,31875,45000000,8287500,3.63,1.61,0.81,0.30,0.78,catenary,Modern DC,Standard,Barcelona Metro,2.22,1.06,FALSE,
PA Trolley DC 750V (GoA1 | TRU | MW),pat_mdc-1_tru_mw,GoA1,54450,63750000,15000000,4.31,1.91,0.96,0.30,0.79,tr-under,Modern DC,PA Trolley,Metro Wide,2.27,1.08,FALSE,
DC 600V (GoA0 | CAT | MS),std_cdc-0_cat_ms,GoA0,31875,45000000,8287500,3.50,1.55,0.78,0.30,0.77,catenary,Classical DC,Standard,Metro Standard,2.12,1.01,FALSE,
DC 750V (GoA0 | CAT | MS),std_mdc-0_cat_ms,GoA0,31875,45000000,8287500,3.50,1.55,0.78,0.30,0.77,catenary,Modern DC,Standard,Metro Standard,2.12,1.01,FALSE,
